Class,ClassName,S-O1,S-O2,S-H1,S-H2,C-O1,C-O2,C-H1,C-H2,N-O1,N-O2,N-H1,N-H2
1,AIMD,3.100613552707263,3.1719377008467986,2.1070468384060943,2.254661942751629,3.3678486495021387,3.7564211805421692,2.7537582355251167,2.874492427781571,2.884182077697379,3.039009118143,1.9494821518002954,2.1386675834508524
1,AIMD,3.1549761790582265,3.296196744783342,2.375767918478474,2.5686430865043013,3.587742496674167,3.681193876372954,2.777429321523895,3.0790502869295877,2.854872178537786,2.889874479711539,1.9469450082509885,1.9639072388656484
1,AIMD,3.1345191898379823,3.362325073410971,2.2127186629032405,2.5047406857918926,3.0998371422018045,3.5040005341149376,2.2503343838516856,2.7309440791653095,2.686560852607289,3.0186357976515166,1.7022350476068104,2.0318959051905554
1,AIMD,3.0031634870119124,3.1567085655383043,2.0404849864125953,2.2546809675284676,3.617470135341988,3.6761948062035814,2.7959755044234313,2.894787279336967,2.9736693740563522,3.082665708612914,2.0740442583254177,2.148721687957868
1,AIMD,3.1646072000169827,3.372883424243498,2.2657224850886006,2.4055453370671387,3.777885759675527,3.8016649552261677,2.86613676262599,3.009026274187543,2.7081423247946157,3.5643255818759867,1.747768443250845,2.658021590696493
1,AIMD,2.8918016073824906,3.226513628601144,1.9873625504166712,2.5567757191892393,3.3030077115285916,3.6130145695393194,2.6455445836462603,2.662331105825206,2.9747080714633913,3.096362839716721,2.046754232086067,2.2513923057484853
1,AIMD,3.269927681220375,3.2994160251016282,2.2952417750260086,2.4274394344616077,3.2088714266064744,3.661191603329865,2.5645642863060325,2.677795589642113,2.837830065843034,2.9827528338285565,1.836468522667011,2.034024093687043
1,AIMD,3.014740227274275,3.118539596419854,2.1230500260488356,2.355715640662353,3.5725154183788232,3.8104127390474054,2.6695267677128722,2.894290472587797,2.835417380387908,3.121016976969612,1.9422138719411182,2.3384611393106005
1,AIMD,2.996418119546262,3.528470837240406,2.1052834770930775,2.6722634716282414,3.531122730751606,3.7145418614270533,2.775701461055329,2.7873583563751856,2.841810507342565,3.0252328737020333,1.8543905135655958,2.0815587676486613
1,AIMD,3.066721807213004,3.1616942624351143,2.0731082077222456,2.2376764978058654,3.5550074728863392,3.6747825206731375,2.773699102133913,2.906116100880605,2.8836884490880483,2.905730763148238,1.8780860161115394,1.9817175752286509
1,AIMD,3.172191348743004,3.369049187616175,2.3134338725312777,2.3796864071787796,3.4812716317314605,3.5630320265329076,2.5383285576993804,2.8872458686640354,2.6848671576666527,2.8091191062229575,1.7521199401500005,1.7911352384373642
1,AIMD,2.9655587832736057,3.4935451944571074,2.1681817884010717,2.5491423029063935,3.1363216666098146,3.2409151565557344,2.318998190082629,2.4065685361762177,3.0017730543364887,3.0555808873974177,2.155904552917088,2.251247279731185
1,AIMD,2.935743480642961,3.3832636827675806,2.4477361884321103,2.611729270467677,3.3258115072979915,3.8196543841155397,2.6624829374431997,2.9303501190611168,2.904285188683441,3.2429688250558466,1.9462197192850164,2.4228289348875283
1,AIMD,3.0155367711232772,3.3464411291125002,2.1232437587467006,2.380670199075048,3.2387871301234172,3.5069310752283496,2.531351488988843,2.82148500869194,2.6875003613437793,3.065564017795798,1.753675917158451,2.1463601945869355
1,AIMD,3.2604123356935673,3.288969496985856,2.324580638499779,2.36588398859027,3.2264804701166745,3.270859698225361,2.4140617242340556,2.602534111082672,2.705766935238652,2.8882330776251774,1.8833475137512459,1.9629135083936227
1,AIMD,3.4124727850412206,3.4477472156816544,2.4733371906763217,2.568339415295565,2.9690974959769743,3.674383382847608,2.1083556038012308,3.058658786778306,2.6320638600447412,2.8739860054343094,1.6358674205047081,2.0690323694281756
1,AIMD,3.3119715743390454,3.334560910143477,2.3899009330946637,2.4678884780812274,3.349246245678039,3.506331912911253,2.449839828315274,2.584951236297225,2.857913741214501,3.005816997249039,1.8578811127788462,2.09262056181166
1,AIMD,3.33851808481554,3.3938417928734284,2.5664075001768945,2.8211280058435384,3.0046785481585188,3.729488499655004,2.304826591880957,2.6606311041658435,2.8698361694238774,3.1249383283126453,2.0737055655630194,2.274289611784389
1,AIMD,3.2999910446707728,3.4043494476578586,2.474237056386,2.7662945276127595,3.2275641798624384,3.3005857720313143,2.4548218553072734,2.576248957000713,2.7201632957738022,3.085897048492216,1.8154808451480615,2.151546415039687
1,AIMD,3.138826692020315,3.263413773081199,2.17273642948445,2.9144053190974804,3.1663762345217785,3.6790366961363077,2.7345042501747,2.7578468124774758,2.753212423918177,3.0976694443870225,1.7513240189009731,2.1357776558024613
1,AIMD,3.0542710302112575,3.159256452816734,2.095591408503634,2.3340779132427643,3.4917118509479876,3.53644798878487,2.63701746599557,2.7948766734372485,2.909529650006863,3.06182714521801,2.0433252286122032,2.171811474636065
1,AIMD,3.231177745045941,3.298340623389128,2.2859760609534003,2.37586860601937,3.4503963321629407,3.50802595845864,2.6857191021890046,2.861005992446596,2.858672011661446,3.4495931680598284,1.900677963225176,2.4933701349221464
