Class,ClassName,S-O1,S-O2,S-H1,S-H2,C-O1,C-O2,C-H1,C-H2,N-O1,N-O2,N-H1,N-H2
0,MD,2.9953315342379034,3.054166498408362,2.0624883029971346,2.203335199192352,3.092924991007703,3.146013827051623,2.248798123442831,2.4545170604418303,2.8559105378145158,2.8763542897216254,1.9029981607978497,1.9463291088610881
0,MD,3.185961236424574,3.2111767313556565,2.2702715696585734,2.414751540014003,3.168024147635241,3.2274209517817773,2.4283597344709866,2.528941675879458,2.7119797196881836,2.7649772150959953,1.8249024631470034,1.8272222087091656
0,MD,2.943255000845153,3.094934248089934,1.98861585028381,2.378570368940132,3.1042482181681295,3.201107777004706,2.2447995456164906,2.3642781139282247,2.681127561306996,2.6976111654573205,1.7246173488632197,1.7461277158329518
0,MD,3.0627307027001254,3.3374053482409063,2.156636816428302,2.529188216973581,3.1858835377786496,3.298333899284001,2.4328778324036326,2.499747457860693,2.7606306751316803,2.855596559015646,1.8326813648845233,1.9086424477845496
0,MD,2.9542797768660973,3.124672302818329,2.009448431784205,2.2444549449699367,2.935501831033325,3.0215429833116727,2.2143631138546365,2.2366897415600593,2.6277690157241747,2.6616199954163253,1.6943653679180288,1.7763561016868221
0,MD,2.8871692018307478,3.0017723098196503,1.9401247382578264,2.066249258923038,3.0943013751087665,3.1520550439356225,2.234134731836914,2.371056515564317,2.714232488199934,2.8528999281432914,1.7571809810033796,1.9096156681384864
0,MD,3.089966019230633,3.0962575797242713,2.248470368939737,2.262544364205927,3.1533057257424306,3.2010240548924354,2.3323803291916185,2.437859717046903,2.835186237269079,2.8791368498214873,1.9329671492293925,1.9462594893795642
0,MD,2.9929156352961237,3.0562535889549474,2.076582288280433,2.22560216570707,3.249462417077632,3.408123530625026,2.4900871470693544,2.6315174329652464,2.8624503489143707,2.9629352001014135,1.9124405873124541,2.1100642170322685
0,MD,2.982020455999588,3.1081333626471053,2.0297196850796912,2.196299842917629,3.169835800163787,3.4543378526137243,2.234196499862982,2.6151422523449845,2.76140507713012,2.817019346756425,1.8114427951221643,1.8989486564939035
0,MD,2.9559002012923243,3.2053152731049703,2.007038116229984,2.3874976439778934,3.1669281646415666,3.20093814373224,2.471284281502231,2.4931991496870043,2.6893367212009727,2.7304457511549285,1.7870081141393845,1.8263904292346695
0,MD,3.1112783546317417,3.146506316535849,2.2527259043212515,2.2772845671983992,3.1930444719734172,3.309567041170189,2.493141391898984,2.574631235730663,2.6560161897096948,2.709674150151639,1.714557960525103,1.7634233751427943
0,MD,3.133818437625257,3.2459028019951552,2.2061670381002445,2.297412892799203,3.3067683620114674,3.5273960650882414,2.4380568081978735,2.7066268675234855,2.7095077043625486,2.9450538195421827,1.758111486794852,2.0059965104655597
0,MD,2.934984497403691,3.2389137067850386,2.1809656118334373,2.4255030406082785,3.38666945537943,3.3987275560126933,2.506140658462729,2.521696849345695,2.6346221740507687,2.798580175731973,1.7247591136155789,1.8413554789882365
0,MD,2.913149670030704,3.0918043275731404,2.04183202051491,2.1702094368977387,3.145356895488968,3.1681657153627554,2.2252087542520584,2.376096588945828,2.7467233206131265,2.830852345142713,1.9271546383204432,1.9639971995906713
0,MD,3.078193788571474,3.2843509252209944,2.4559114397713926,2.5409765839141447,2.9758849104090035,3.2680107098967723,2.176057214321351,2.455930373605897,2.6623945988526954,2.666758706744951,1.711115425679986,1.7336429851615933
0,MD,2.914829154513177,2.9651225944301185,2.012211718482923,2.1585099026875003,2.9843369447835477,3.0548078499309903,2.247003560299806,2.3618596486667025,2.715118045315894,2.766486941953641,1.8032540031842434,1.8613202303741292
